VariableName;VariableCode;VariableAbbreviation;VariableGroupName;UnitsAbbreviation
Nonylphenole;Nonylphenole;;Alkylphenole;ug/L
2-Phenylphenol;2-Phenylphenol;Phenylphenol;Alkylphenole;ug/L
4-tert-Octylphenol;4-tert-Octylphenol;Octylphenol;Alkylphenole;ug/L
4-tert-Butylphenol;4-tert-Butylphenol;Butylphenol;Alkylphenole;ug/L
Escherichia coli;E. coli (Miniaturverf.);E. coli;Mikrobiologie;MPN/100 ml
Enterokokken;E-Kokken (Miniaturverf.);;Mikrobiologie;MPN/100 ml
somat. Coliphagen;somat. Coliphagen;Coliphagen;Mikrobiologie;PFU/100 ml
Koloniezahl 22°C (TW);Koloniezahl 22°C (TW);KBE;Mikrobiologie;colonies/ml
Koloniezahl 36°C (TW);Koloniezahl 36°C (TW);KBE;Mikrobiologie;colonies/ml
Pseudomonas aeruginosa;Ps/aer;P. aeruginosa;Mikrobiologie;#/100 ml
Ps/aer (Schnelltest);Ps/aer (Schnelltest);P. aeruginosa;Mikrobiologie;#/100 ml
Methyl-tert-butylether;MTBE;MTBE;Sonstige;ug/L
Nikotin;Nikotin;;Sonstige;ug/L
Octylisothiazolinon;OIT;OIT;Pestizide/Biozide;ug/L
Benzisothiazolinon;BIT;BIT;Pestizide/Biozide;ug/L
